ID,County,City,Weekday,Severity,ViolCat,ClearWeather,Month,CrashType,Highway,Daylight
1,SAN DIEGO,SAN DIEGO,7,1,8,0,1,A,0,1
2,HUMBOLDT,UNINCORPORATED,4,1,8,1,1,A,1,0
3,VENTURA,OXNARD,2,1,12,1,2,A,0,1
4,STANISLAUS,UNINCORPORATED,4,1,1,1,1,A,0,0
5,MENDOCINO,UNINCORPORATED,5,1,1,1,1,A,1,0
6,LOS ANGELES,LONG BEACH,7,1,3,1,3,A,0,0
7,LOS ANGELES,LOS ANGELES,4,1,3,0,3,A,0,1
8,CALAVERAS,UNINCORPORATED,1,1,1,1,2,A,1,1
9,SAN BERNARDINO,HESPERIA,2,1,1,1,1,A,0,0
10,VENTURA,OXNARD,5,0,8,1,1,A,0,0
11,VENTURA,OXNARD,6,0,8,0,1,A,0,0
12,ORANGE,FULLERTON,4,0,9,1,2,A,0,0
13,SAN DIEGO,CHULA VISTA,1,0,3,1,1,A,0,0
14,ALAMEDA,OAKLAND,6,0,1,1,1,A,0,0
15,LOS ANGELES,LOS ANGELES,5,0,9,1,3,A,0,0
16,SANTA CLARA,MORGAN HILL,4,0,8,1,3,A,0,0
17,LOS ANGELES,LOS ANGELES,3,0,9,1,3,A,0,1
18,SAN JOAQUIN,UNINCORPORATED,3,0,8,1,3,A,0,1
19,LOS ANGELES,LOS ANGELES,5,0,9,1,4,A,0,1
20,ORANGE,FOUNTAIN VALLEY,4,0,8,1,1,A,0,1
21,RIVERSIDE,RIVERSIDE,5,0,9,1,1,A,0,1
22,ORANGE,ANAHEIM,2,0,9,1,1,A,0,0
23,CONTRA COSTA,WALNUT CREEK,4,0,1,1,1,A,0,0
24,SOLANO,FAIRFIELD,7,0,1,1,1,A,0,0
25,CONTRA COSTA,UNINCORPORATED,7,0,9,1,1,A,0,1
26,BUTTE,CHICO,5,0,9,1,1,A,0,1
27,EL DORADO,UNINCORPORATED,7,0,3,1,1,A,0,1
28,ORANGE,GARDEN GROVE,6,0,9,1,1,A,0,1
29,TUOLUMNE,UNINCORPORATED,3,0,8,1,1,A,1,0
30,SONOMA,UNINCORPORATED,6,0,9,1,1,A,0,1
31,ORANGE,FULLERTON,3,0,9,1,1,A,0,1
32,ORANGE,FULLERTON,4,0,9,1,1,A,0,1
33,SOLANO,VACAVILLE,3,0,8,1,1,A,0,0
34,SAN BERNARDINO,COLTON,1,0,3,1,1,A,0,1
35,ORANGE,COSTA MESA,5,0,9,0,1,A,0,1
36,TEHAMA,UNINCORPORATED,1,0,9,1,1,A,0,0
37,SOLANO,FAIRFIELD,5,0,9,1,1,A,0,1
38,IMPERIAL,UNINCORPORATED,7,1,3,1,1,A,0,1
39,SISKIYOU,UNINCORPORATED,6,0,3,0,1,A,1,0
40,KERN,UNINCORPORATED,2,0,1,1,1,A,1,1
41,SAN DIEGO,OCEANSIDE,2,0,12,1,1,A,0,0
42,CALAVERAS,UNINCORPORATED,5,0,3,1,1,A,0,1
43,FRESNO,UNINCORPORATED,7,0,9,0,1,A,0,1
44,LOS ANGELES,BURBANK,1,0,9,1,1,A,0,1
45,LOS ANGELES,WHITTIER,4,0,9,1,1,A,0,1
46,SAN BERNARDINO,MONTCLAIR,3,0,8,1,1,A,0,1
47,SAN BERNARDINO,YUCAIPA,1,0,1,1,1,A,0,1
48,ALAMEDA,OAKLAND,4,0,12,1,1,A,0,1
49,SANTA CRUZ,UNINCORPORATED,6,0,3,1,1,A,0,0
50,KINGS,HANFORD,2,0,12,1,1,A,0,1
51,LOS ANGELES,LONG BEACH,5,1,11,1,1,A,0,1
52,NEVADA,TRUCKEE,6,0,3,1,1,A,0,1
53,LOS ANGELES,LONG BEACH,4,0,12,0,1,A,0,0
54,FRESNO,SELMA,5,0,12,0,1,A,0,0
55,MARIN,SAN RAFAEL,1,0,3,1,1,A,0,1
56,SOLANO,VALLEJO,2,0,12,1,1,A,0,1
57,SOLANO,VALLEJO,2,0,9,1,1,A,0,1
58,SOLANO,VALLEJO,3,0,8,1,1,A,1,1
59,KERN,UNINCORPORATED,5,1,9,1,1,A,0,0
60,SACRAMENTO,SACRAMENTO,1,1,1,1,1,A,0,0
61,SACRAMENTO,SACRAMENTO,7,0,8,1,1,A,0,0
62,ORANGE,HUNTINGTON BEACH,4,0,1,1,1,A,0,0
63,SANTA CLARA,PALO ALTO,2,0,9,1,1,A,0,1
64,NEVADA,UNINCORPORATED,5,0,9,1,1,A,0,0
65,SANTA CLARA,PALO ALTO,7,0,1,1,1,A,0,1
66,SAN DIEGO,ESCONDIDO,4,0,12,1,1,A,0,1
67,RIVERSIDE,RIVERSIDE,5,0,9,1,1,A,0,0
68,KERN,UNINCORPORATED,7,0,3,0,1,A,1,1
69,SAN DIEGO,ESCONDIDO,3,0,9,1,1,A,0,0
70,LOS ANGELES,REDONDO BEACH,4,0,9,1,1,A,0,0
71,LOS ANGELES,NORWALK,1,0,9,1,1,A,0,0
72,SAN MATEO,UNINCORPORATED,5,0,1,1,1,A,0,0
73,SAN DIEGO,SAN DIEGO,4,0,8,0,1,A,0,0
74,LOS ANGELES,CLAREMONT,2,0,9,1,1,A,0,1
75,SAN JOAQUIN,UNINCORPORATED,1,0,9,1,1,A,0,0
76,FRESNO,UNINCORPORATED,5,0,3,0,1,A,0,1
77,FRESNO,UNINCORPORATED,1,1,3,1,1,A,1,1
78,LOS ANGELES,PASADENA,7,0,12,1,2,A,0,0
79,FRESNO,UNINCORPORATED,6,1,1,1,1,A,1,0
80,SAN DIEGO,SAN DIEGO,2,0,8,1,1,A,0,1
81,SAN DIEGO,SAN DIEGO,3,0,9,1,1,A,0,0
82,ORANGE,TUSTIN,2,0,8,1,1,A,0,0
83,LOS ANGELES,BURBANK,1,0,9,1,1,A,0,0
84,LOS ANGELES,LONG BEACH,7,0,9,1,1,A,0,0
85,SANTA CLARA,SAN JOSE,4,0,12,1,1,A,0,0
86,SANTA CLARA,SAN JOSE,6,0,9,1,1,A,0,1
87,SANTA CLARA,SAN JOSE,5,0,9,1,1,A,0,1
88,SANTA CLARA,SAN JOSE,2,0,11,1,1,A,0,0
89,SANTA CLARA,SAN JOSE,3,0,9,0,1,A,0,1
90,LOS ANGELES,LA MIRADA,2,0,8,1,1,A,0,1
91,SANTA CLARA,MILPITAS,3,0,9,0,1,A,0,1
92,MONTEREY,UNINCORPORATED,6,0,9,1,1,A,0,1
93,LOS ANGELES,POMONA,3,0,9,1,1,A,0,0
94,VENTURA,UNINCORPORATED,6,0,1,0,1,A,0,0
95,TRINITY,UNINCORPORATED,5,1,12,0,1,A,0,1
96,SAN LUIS OBISPO,UNINCORPORATED,2,1,1,1,1,A,1,0
97,SONOMA,SANTA ROSA,6,0,1,1,1,A,0,0
98,SAN JOAQUIN,LATHROP,3,0,12,1,1,A,0,0
99,RIVERSIDE,RIVERSIDE,2,0,9,1,1,A,0,0
100,MERCED,MERCED,4,0,8,1,1,A,0,0
101,ORANGE,SANTA ANA,2,0,9,1,1,A,0,1
102,LOS ANGELES,LANCASTER,3,1,8,1,3,A,0,0
103,KERN,UNINCORPORATED,7,1,1,1,4,A,0,1
104,SAN BERNARDINO,REDLANDS,4,1,8,1,1,A,0,1
105,DEL NORTE,UNINCORPORATED,6,1,1,1,3,A,1,1
106,IMPERIAL,UNINCORPORATED,3,1,8,1,4,A,1,1
107,LOS ANGELES,DIAMOND BAR,7,1,7,0,1,A,1,1
108,TULARE,UNINCORPORATED,1,1,1,1,4,A,1,0
109,SAN DIEGO,SAN DIEGO,7,1,1,1,3,A,1,0
110,RIVERSIDE,RIVERSIDE,2,1,1,1,5,A,0,0
111,ORANGE,HUNTINGTON BEACH,6,1,1,0,6,A,0,0
112,VENTURA,VENTURA,3,1,8,1,2,A,0,1
113,FRESNO,UNINCORPORATED,1,1,1,1,4,A,0,0
114,SAN DIEGO,SAN DIEGO,4,1,8,0,5,A,0,1
115,YOLO,UNINCORPORATED,6,1,1,1,2,A,1,0
116,TUOLUMNE,UNINCORPORATED,6,1,8,1,3,A,1,1
117,SAN MATEO,UNINCORPORATED,1,1,1,0,3,A,1,0
118,RIVERSIDE,PALM SPRINGS,2,1,7,1,6,A,0,1
119,LOS ANGELES,LOS ANGELES,2,1,3,1,6,A,0,0
120,MERCED,UNINCORPORATED,5,1,8,1,6,A,1,1
121,ORANGE,TUSTIN,4,1,1,0,4,A,0,0
122,SAN BENITO,UNINCORPORATED,3,1,8,1,5,A,0,1
123,ORANGE,FULLERTON,3,1,9,1,3,A,0,0
124,LOS ANGELES,LOS ANGELES,7,1,9,1,7,A,0,0
125,SAN JOAQUIN,UNINCORPORATED,7,1,1,1,4,A,1,0
126,FRESNO,UNINCORPORATED,2,1,9,1,6,A,0,1
127,SAN JOAQUIN,UNINCORPORATED,5,1,8,1,6,A,0,0
128,SANTA CLARA,SAN JOSE,5,1,1,1,7,A,0,0
129,CALAVERAS,UNINCORPORATED,3,1,1,1,7,A,0,1
130,YUBA,UNINCORPORATED,1,1,8,0,6,A,1,0
131,TUOLUMNE,UNINCORPORATED,2,1,1,0,7,A,0,1
132,LAKE,UNINCORPORATED,1,1,3,0,6,A,1,1
133,SONOMA,UNINCORPORATED,4,1,8,0,7,A,1,1
134,SAN JOAQUIN,UNINCORPORATED,1,1,6,1,7,A,0,1
135,TULARE,UNINCORPORATED,5,1,1,1,7,A,0,0
136,CALAVERAS,UNINCORPORATED,1,1,1,1,8,A,0,1
137,SAN BERNARDINO,HESPERIA,2,1,1,1,4,A,1,1
138,LAKE,UNINCORPORATED,4,1,1,1,7,A,1,1
139,MADERA,UNINCORPORATED,1,1,1,0,7,A,1,0
140,ORANGE,FOUNTAIN VALLEY,5,1,9,1,8,A,0,1
141,KERN,UNINCORPORATED,6,1,1,1,8,A,1,1
142,CONTRA COSTA,LAFAYETTE,5,1,1,1,5,A,1,0
143,SACRAMENTO,SACRAMENTO,4,1,1,1,6,A,1,0
144,KERN,TAFT,1,1,9,1,9,A,0,1
145,FRESNO,UNINCORPORATED,6,1,1,1,8,A,1,0
146,SAN JOAQUIN,LATHROP,5,1,9,1,9,A,0,1
147,LOS ANGELES,LOS ANGELES,3,1,9,1,9,A,0,1
148,SAN LUIS OBISPO,UNINCORPORATED,6,1,3,1,7,A,1,1
149,LOS ANGELES,LA VERNE,2,1,9,1,9,A,0,1
150,ORANGE,HUNTINGTON BEACH,1,1,9,1,9,A,0,1
151,SAN BERNARDINO,SAN BERNARDINO,5,1,3,1,6,A,0,1
152,MERCED,UNINCORPORATED,4,1,1,1,6,A,0,1
153,SAN LUIS OBISPO,UNINCORPORATED,6,1,1,1,8,A,0,1
154,ORANGE,MISSION VIEJO,2,1,1,1,5,A,0,0
155,MERCED,UNINCORPORATED,7,1,1,1,6,A,0,0
156,RIVERSIDE,CATHEDRAL CITY,4,1,3,1,8,A,0,1
157,TUOLUMNE,UNINCORPORATED,7,1,8,1,10,A,1,1
158,NEVADA,UNINCORPORATED,4,1,8,1,8,A,0,1
159,SAN JOAQUIN,UNINCORPORATED,4,1,8,1,10,A,1,1
160,YOLO,UNINCORPORATED,3,1,1,1,7,A,0,0
161,SAN DIEGO,CHULA VISTA,2,1,12,1,8,A,0,0
162,YOLO,UNINCORPORATED,4,1,1,1,10,A,1,0
163,SAN MATEO,BRISBANE,6,1,1,1,10,A,1,0
164,RIVERSIDE,RIVERSIDE,5,1,1,1,11,A,0,0
165,LOS ANGELES,LOS ANGELES,2,1,9,0,10,A,0,1
166,HUMBOLDT,UNINCORPORATED,4,1,8,1,10,A,1,0
167,LOS ANGELES,LOS ANGELES,1,1,9,1,11,A,0,0
168,HUMBOLDT,UNINCORPORATED,5,1,3,1,10,A,1,1
169,TULARE,UNINCORPORATED,7,1,1,0,2,A,1,1
170,BUTTE,UNINCORPORATED,3,1,8,1,10,A,1,1
171,KERN,UNINCORPORATED,5,1,8,1,11,A,1,0
172,FRESNO,UNINCORPORATED,1,1,8,1,11,A,0,1
173,HUMBOLDT,UNINCORPORATED,7,1,1,0,9,A,1,1
174,LOS ANGELES,LOS ANGELES,6,1,1,1,11,A,0,0
175,LASSEN,UNINCORPORATED,2,1,8,1,8,A,1,1
176,SONOMA,UNINCORPORATED,2,1,1,1,10,A,1,0
177,ALAMEDA,OAKLAND,1,1,9,0,2,A,0,1
178,IMPERIAL,UNINCORPORATED,6,1,1,1,11,A,1,0
179,KERN,BAKERSFIELD,6,1,1,1,10,A,0,0
180,LASSEN,UNINCORPORATED,3,1,6,0,12,A,1,0
181,KERN,UNINCORPORATED,7,1,1,1,12,A,0,0
182,SAN MATEO,FOSTER CITY,3,1,8,1,8,A,0,1
183,SOLANO,VACAVILLE,7,1,3,0,10,A,0,1
184,RIVERSIDE,LAKE ELSINORE,1,1,3,1,7,A,0,1
185,EL DORADO,UNINCORPORATED,6,1,8,0,12,A,0,1
186,RIVERSIDE,SAN JACINTO,7,1,1,1,11,A,0,0
187,TULARE,UNINCORPORATED,5,0,1,1,1,A,0,0
188,SOLANO,FAIRFIELD,2,0,8,1,1,A,0,1
189,ORANGE,FULLERTON,4,0,9,0,1,A,0,1
190,SAN BERNARDINO,RIALTO,4,0,9,1,1,A,0,1
191,SAN LUIS OBISPO,ARROYO GRANDE,3,1,1,1,1,A,0,1
192,KERN,TAFT,4,0,3,0,1,A,1,0
193,KERN,BAKERSFIELD,5,0,12,1,2,A,0,1
194,MARIN,UNINCORPORATED,5,1,3,1,1,A,1,1
195,DEL NORTE,UNINCORPORATED,6,0,3,0,1,A,1,1
196,DEL NORTE,UNINCORPORATED,5,1,1,0,1,A,1,0
197,SAN BERNARDINO,RANCHO CUCAMONGA,6,0,9,0,1,A,0,0
198,SANTA CRUZ,SANTA CRUZ,6,0,1,0,1,A,0,0
199,ORANGE,SANTA ANA,7,0,9,1,1,A,0,0
200,LOS ANGELES,PALMDALE,4,0,1,1,1,A,0,0
201,SHASTA,REDDING,3,0,3,0,1,A,1,0
202,STANISLAUS,UNINCORPORATED,3,0,9,1,1,A,0,0
203,STANISLAUS,UNINCORPORATED,6,0,1,1,1,A,0,0
204,SAN JOAQUIN,UNINCORPORATED,5,0,1,1,1,A,1,1
205,KERN,UNINCORPORATED,7,1,1,0,2,A,1,1
206,IMPERIAL,UNINCORPORATED,5,0,12,1,2,A,0,1
207,TEHAMA,UNINCORPORATED,6,0,6,0,1,A,0,0
208,IMPERIAL,EL CENTRO,4,0,12,1,2,A,0,1
209,ORANGE,FULLERTON,3,0,9,1,1,A,0,0
210,SAN LUIS OBISPO,UNINCORPORATED,5,0,1,1,1,A,0,0
211,RIVERSIDE,RIVERSIDE,7,0,12,0,1,A,0,0
212,ALAMEDA,HAYWARD,4,1,8,0,1,A,0,1
213,ORANGE,GARDEN GROVE,7,0,1,1,1,A,0,0
214,SAN BERNARDINO,FONTANA,2,0,8,1,1,A,0,1
215,SAN JOAQUIN,UNINCORPORATED,5,0,9,0,1,A,0,1
216,TULARE,UNINCORPORATED,7,0,9,1,1,A,0,1
217,SAN LUIS OBISPO,UNINCORPORATED,1,0,1,0,2,A,1,0
218,LOS ANGELES,CULVER CITY,5,0,9,1,1,A,0,1
219,NEVADA,TRUCKEE,2,0,3,0,2,A,0,0
220,RIVERSIDE,PERRIS,5,0,8,0,1,A,0,0
221,SAN DIEGO,ESCONDIDO,6,0,8,1,2,A,0,0
222,MONTEREY,UNINCORPORATED,4,0,8,1,2,A,0,1
223,SAN BERNARDINO,VICTORVILLE,2,0,1,1,2,A,1,1
224,ALAMEDA,HAYWARD,4,1,9,1,1,A,0,0
225,KINGS,HANFORD,6,0,1,1,2,A,0,0
226,SAN BERNARDINO,FONTANA,1,0,3,1,1,A,0,1
227,ORANGE,GARDEN GROVE,6,0,1,0,2,A,0,0
228,HUMBOLDT,UNINCORPORATED,1,1,1,1,3,A,0,1
229,FRESNO,UNINCORPORATED,5,1,8,1,2,A,0,0
230,ORANGE,LA HABRA,5,0,12,1,2,A,0,0
231,TULARE,VISALIA,2,0,9,1,1,A,0,1
232,SAN JOAQUIN,UNINCORPORATED,4,0,12,1,1,A,1,1
233,SAN LUIS OBISPO,SAN LUIS OBISPO,5,0,12,1,2,A,0,0
234,SOLANO,VACAVILLE,1,0,9,1,2,A,0,1
235,SACRAMENTO,SACRAMENTO,6,0,9,1,2,A,0,1
236,HUMBOLDT,UNINCORPORATED,6,0,9,1,2,A,0,0
237,MENDOCINO,UNINCORPORATED,4,0,1,1,2,A,1,1
238,SAN DIEGO,LA MESA,5,0,3,0,1,A,0,1
239,INYO,UNINCORPORATED,7,0,1,1,2,A,1,0
240,MERCED,MERCED,6,0,9,1,2,A,0,0
241,ORANGE,FULLERTON,5,0,12,1,2,A,0,0
242,ORANGE,LAGUNA HILLS,2,0,9,1,1,A,0,0
243,ORANGE,GARDEN GROVE,6,0,12,1,2,A,0,1
244,CONTRA COSTA,HERCULES,7,0,12,1,1,A,0,1
245,EL DORADO,UNINCORPORATED,3,0,3,1,2,A,0,1
246,ORANGE,LA HABRA,3,1,9,1,2,A,1,1
247,SANTA CRUZ,UNINCORPORATED,2,1,12,1,2,A,0,0
248,MADERA,UNINCORPORATED,5,0,9,1,2,A,0,1
249,STANISLAUS,TURLOCK,1,0,9,1,2,A,0,1
250,CONTRA COSTA,CONCORD,2,0,3,0,2,A,0,1
251,RIVERSIDE,RIVERSIDE,4,0,12,1,2,A,0,0
252,RIVERSIDE,RIVERSIDE,5,0,9,1,2,A,0,0
253,RIVERSIDE,RIVERSIDE,2,1,11,0,2,A,0,0
254,KERN,UNINCORPORATED,1,0,1,1,2,A,0,1
255,RIVERSIDE,HEMET,5,0,9,1,3,A,1,1
256,ALAMEDA,HAYWARD,3,0,1,1,2,A,0,1
257,ORANGE,LAKE FOREST,5,0,12,0,3,A,0,1
258,SOLANO,VACAVILLE,4,1,1,1,2,A,1,0
259,SAN MATEO,SAN BRUNO,2,0,10,1,2,A,0,1
260,LOS ANGELES,BELLFLOWER,4,0,1,1,1,A,0,0
261,SAN DIEGO,VISTA,3,0,9,1,2,A,0,1
262,LOS ANGELES,LONG BEACH,2,0,9,1,3,A,0,1
263,MONTEREY,MONTEREY,7,0,1,1,3,A,0,0
264,LOS ANGELES,LONG BEACH,4,0,9,1,3,A,0,1
265,HUMBOLDT,UNINCORPORATED,3,0,8,0,3,A,0,1
266,KERN,BAKERSFIELD,4,1,1,1,3,A,0,1
267,SAN MATEO,PACIFICA,3,0,9,1,2,A,0,1
268,FRESNO,UNINCORPORATED,7,0,1,0,3,A,0,0
269,ORANGE,HUNTINGTON BEACH,2,0,9,0,3,A,0,1
270,ORANGE,SANTA ANA,6,0,9,1,2,A,0,1
271,ORANGE,SANTA ANA,3,0,9,1,2,A,0,0
272,SAN MATEO,REDWOOD CITY,2,0,12,1,2,A,0,1
273,LOS ANGELES,WEST COVINA,5,1,3,1,2,A,0,0
274,KINGS,UNINCORPORATED,7,0,3,1,2,A,0,1
275,RIVERSIDE,PALM SPRINGS,2,1,1,1,2,A,0,1
276,LOS ANGELES,DOWNEY,4,0,9,1,2,A,0,1
277,MONTEREY,UNINCORPORATED,6,1,12,1,3,A,0,1
278,RIVERSIDE,RANCHO MIRAGE,1,1,1,1,2,A,0,1
279,SAN JOAQUIN,UNINCORPORATED,2,0,9,0,2,A,0,0
280,SAN DIEGO,SAN DIEGO,3,0,9,1,2,A,0,1
281,EL DORADO,UNINCORPORATED,7,0,12,1,2,A,0,0
282,LOS ANGELES,LOS ANGELES,1,0,9,1,3,A,0,1
283,RIVERSIDE,MORENO VALLEY,1,0,3,1,3,A,1,0
284,RIVERSIDE,RIVERSIDE,4,0,3,0,3,A,1,0
285,ORANGE,MISSION VIEJO,3,1,12,1,2,A,0,1
286,SONOMA,PETALUMA,2,0,9,1,3,A,0,1
287,SAN DIEGO,SAN DIEGO,6,0,8,1,3,A,0,0
288,SAN DIEGO,SAN DIEGO,5,0,3,0,3,A,0,1
289,VENTURA,OXNARD,5,0,9,1,3,A,0,1
290,EL DORADO,UNINCORPORATED,5,0,3,0,3,A,1,1
291,MARIN,SAN RAFAEL,1,0,3,1,3,A,0,1
292,SAN BERNARDINO,MONTCLAIR,7,0,3,1,3,A,0,0
293,RIVERSIDE,INDIO,7,0,12,1,2,A,0,1
294,RIVERSIDE,RIVERSIDE,3,0,9,1,3,A,0,1
295,NAPA,UNINCORPORATED,2,1,1,1,3,A,0,0
296,RIVERSIDE,RIVERSIDE,4,0,8,0,3,A,0,1
297,RIVERSIDE,RIVERSIDE,7,0,12,1,3,A,0,0
298,LOS ANGELES,LOS ANGELES,5,0,9,1,3,A,0,0
299,KERN,BAKERSFIELD,3,0,1,1,3,A,0,0
300,LOS ANGELES,LOS ANGELES,6,0,1,0,3,A,0,0
301,LOS ANGELES,LOS ANGELES,2,0,9,1,3,A,0,1
302,ORANGE,SANTA ANA,4,0,9,0,3,A,0,1
303,KERN,UNINCORPORATED,1,0,1,1,3,A,0,0
304,STANISLAUS,UNINCORPORATED,5,0,8,1,1,A,0,1
305,SONOMA,UNINCORPORATED,4,0,1,1,2,A,0,1
306,SAN JOAQUIN,UNINCORPORATED,5,0,9,1,3,A,0,1
307,SAN LUIS OBISPO,UNINCORPORATED,1,1,9,1,2,A,1,1
308,ORANGE,GARDEN GROVE,2,0,12,1,1,A,0,0
309,SAN DIEGO,ESCONDIDO,5,0,12,1,1,A,0,1
310,LOS ANGELES,PALMDALE,5,0,8,1,1,A,0,0
311,SISKIYOU,WEED,6,0,3,1,1,A,0,1
312,ORANGE,SAN CLEMENTE,3,1,9,1,1,A,0,1
313,RIVERSIDE,RIVERSIDE,1,0,1,1,1,A,0,1
314,LOS ANGELES,ALHAMBRA,7,0,9,1,1,A,0,0
315,SAN BERNARDINO,RANCHO CUCAMONGA,4,0,9,1,1,A,0,1
316,SAN BERNARDINO,RANCHO CUCAMONGA,2,0,9,1,1,A,0,1
317,ORANGE,ANAHEIM,4,0,12,1,1,A,0,0
318,SAN MATEO,REDWOOD CITY,2,0,9,1,1,A,0,1
319,SANTA CLARA,LOS GATOS,3,1,1,1,1,A,0,0
320,SAN DIEGO,EL CAJON,6,0,9,1,1,A,0,0
321,RIVERSIDE,MORENO VALLEY,4,0,9,1,3,A,0,0
322,LOS ANGELES,SIGNAL HILL,3,0,9,1,1,A,0,1
323,ALAMEDA,DUBLIN,3,0,12,1,3,A,0,0
324,LOS ANGELES,SOUTH GATE,2,0,1,1,2,A,0,0
325,LOS ANGELES,SOUTH GATE,5,0,9,1,1,A,0,1
326,LOS ANGELES,MALIBU,1,0,12,1,3,A,0,0
327,LOS ANGELES,LOS ANGELES,1,0,1,1,3,A,0,1
328,LOS ANGELES,REDONDO BEACH,3,0,1,1,1,A,1,1
329,RIVERSIDE,CATHEDRAL CITY,2,0,8,1,2,A,0,1
330,CONTRA COSTA,SAN RAMON,5,0,12,1,3,A,0,1
331,MERCED,UNINCORPORATED,5,1,8,1,2,A,1,0
332,KERN,UNINCORPORATED,3,0,9,1,3,A,0,1
333,STANISLAUS,MODESTO,5,0,3,1,2,A,0,0
334,SAN DIEGO,SAN DIEGO,1,0,3,1,2,A,0,1
335,SANTA CLARA,SAN JOSE,5,0,11,1,2,A,0,1
336,ALAMEDA,OAKLAND,1,0,3,1,2,A,0,0
337,SAN DIEGO,SAN DIEGO,5,0,9,1,2,A,0,0
338,SAN DIEGO,VISTA,2,0,8,0,2,A,0,0
339,EL DORADO,UNINCORPORATED,5,0,3,0,2,A,0,1
340,ALAMEDA,FREMONT,5,0,1,1,2,A,0,0
341,ALAMEDA,SAN LEANDRO,3,0,9,1,2,A,0,1
342,ORANGE,FOUNTAIN VALLEY,6,0,9,0,2,A,0,0
343,KERN,DELANO,4,0,1,1,2,A,0,1
344,ORANGE,FOUNTAIN VALLEY,1,0,9,1,1,A,0,1
345,LOS ANGELES,LOS ANGELES,5,0,9,0,3,A,0,1
346,LOS ANGELES,LOS ANGELES,1,0,1,1,3,A,0,0
347,LOS ANGELES,LOS ANGELES,6,1,9,1,3,A,0,0
348,LOS ANGELES,LOS ANGELES,6,0,9,1,3,A,0,0
349,LOS ANGELES,LOS ANGELES,3,0,9,0,3,A,0,1
350,LOS ANGELES,LOS ANGELES,5,0,9,1,3,A,0,1
351,ORANGE,ANAHEIM,6,0,1,1,3,A,0,0
352,SAN BERNARDINO,BIG BEAR LAKE,7,0,3,1,3,A,1,1
353,LOS ANGELES,LA PUENTE,6,0,8,1,1,A,0,0
354,LOS ANGELES,HUNTINGTON PARK,5,0,9,0,1,A,0,1
355,LOS ANGELES,SANTA CLARITA,4,0,9,1,1,A,0,1
356,SAN DIEGO,ESCONDIDO,4,0,3,1,1,A,0,1
357,SOLANO,VACAVILLE,7,0,8,1,1,A,0,1
358,ORANGE,FULLERTON,3,0,9,1,1,A,0,1
359,MARIN,UNINCORPORATED,7,0,3,1,1,A,1,1
360,SACRAMENTO,SACRAMENTO,1,0,9,1,1,A,0,1
361,SAN LUIS OBISPO,UNINCORPORATED,3,0,9,1,1,A,0,0
362,LOS ANGELES,ALHAMBRA,6,0,8,1,1,A,0,1
363,SAN JOAQUIN,LODI,4,0,9,1,2,A,0,1
364,CONTRA COSTA,BRENTWOOD,7,0,8,1,2,A,0,0
365,SAN BERNARDINO,TWENTYNINE PALMS,3,0,8,1,2,A,0,0
366,MERCED,MERCED,2,0,8,1,2,A,0,0
367,LOS ANGELES,LOS ANGELES,2,0,9,1,3,A,0,1
368,SACRAMENTO,SACRAMENTO,5,0,3,1,1,A,0,0
369,ORANGE,LA HABRA,1,0,1,1,1,A,0,0
370,KINGS,HANFORD,7,1,9,0,1,A,0,0
371,SACRAMENTO,SACRAMENTO,3,0,9,1,1,A,0,1
372,SAN DIEGO,SAN DIEGO,4,0,9,1,1,A,0,0
373,SAN MATEO,SAN BRUNO,1,1,8,1,1,A,0,1
374,RIVERSIDE,RIVERSIDE,1,0,9,0,1,A,0,1
375,SAN BERNARDINO,ONTARIO,6,0,12,1,1,A,0,0
376,ALAMEDA,FREMONT,2,0,1,1,1,A,0,1
377,SAN JOAQUIN,LODI,7,0,9,0,1,A,0,1
378,RIVERSIDE,RIVERSIDE,3,0,9,1,1,A,0,1
379,SAN LUIS OBISPO,SAN LUIS OBISPO,3,0,9,1,1,A,0,1
380,SAN BERNARDINO,MONTCLAIR,2,0,9,1,1,A,0,1
381,ORANGE,FOUNTAIN VALLEY,1,0,9,1,1,A,0,0
382,LOS ANGELES,WALNUT,2,1,3,1,1,A,0,0
383,SISKIYOU,UNINCORPORATED,5,0,3,1,1,A,1,0
384,LOS ANGELES,LOS ANGELES,1,0,12,1,3,A,0,1
385,LOS ANGELES,LOS ANGELES,6,0,9,0,3,A,0,1
386,SACRAMENTO,SACRAMENTO,3,0,12,0,3,A,0,0
387,ORANGE,ANAHEIM,7,0,9,1,3,A,0,0
388,SAN DIEGO,CHULA VISTA,3,0,3,1,2,A,0,1
389,SAN DIEGO,CHULA VISTA,4,0,12,1,2,A,0,0
390,SAN DIEGO,CHULA VISTA,1,0,9,1,2,A,0,1
391,LOS ANGELES,HUNTINGTON PARK,3,0,9,1,2,A,0,0
392,LOS ANGELES,POMONA,5,0,9,1,2,A,0,1
393,LOS ANGELES,LOS ANGELES,6,1,3,1,3,A,0,1
394,LOS ANGELES,LOS ANGELES,7,0,9,1,3,A,0,1
395,LOS ANGELES,LOS ANGELES,2,0,9,1,3,A,0,1
396,YUBA,WHEATLAND,2,0,9,0,1,A,0,0
397,ALAMEDA,OAKLAND,7,0,8,1,1,A,0,0
398,SAN JOAQUIN,STOCKTON,1,1,9,1,1,A,0,0
399,SANTA CLARA,SANTA CLARA,4,0,9,1,1,A,0,1
400,SANTA CLARA,SANTA CLARA,4,0,8,1,2,A,0,1
