ID,County,City,Weekday,Severity,ViolCat,ClearWeather,Month,CrashType,Highway,Daylight
100114,SHASTA,REDDING,4,0,8,1,9,E,0,1
100115,SHASTA,REDDING,4,0,1,1,10,E,0,1
100116,KERN,UNINCORPORATED,1,1,1,1,1,F,0,0
100117,IMPERIAL,UNINCORPORATED,7,1,1,0,2,F,1,0
100118,KINGS,UNINCORPORATED,7,1,8,1,1,F,0,0
100119,IMPERIAL,UNINCORPORATED,5,1,8,1,2,F,1,0
100120,SAN JOAQUIN,UNINCORPORATED,7,1,8,1,1,F,1,1
100121,AMADOR,UNINCORPORATED,1,1,8,1,1,F,1,0
100122,STANISLAUS,UNINCORPORATED,7,1,1,1,1,F,0,1
100123,SAN LUIS OBISPO,UNINCORPORATED,7,1,8,1,3,F,0,1
100124,SAN MATEO,UNINCORPORATED,1,1,8,1,2,F,1,1
100125,SHASTA,REDDING,3,1,1,1,2,F,0,0
100126,SAN LUIS OBISPO,UNINCORPORATED,7,1,8,1,2,F,1,1
100127,SAN DIEGO,SAN DIEGO,7,1,3,1,2,F,0,1
100128,LOS ANGELES,SANTA FE SPRINGS,3,1,12,1,3,F,0,1
100129,FRESNO,FRESNO,4,0,3,1,1,F,0,0
100130,SACRAMENTO,SACRAMENTO,1,0,8,0,1,F,1,0
100131,MENDOCINO,UNINCORPORATED,6,0,3,1,3,F,0,1
100132,SAN DIEGO,SAN DIEGO,6,0,3,0,4,F,0,1
100133,CALAVERAS,UNINCORPORATED,7,0,3,1,4,F,0,1
100134,SISKIYOU,UNINCORPORATED,1,0,3,1,1,F,0,1
100135,SISKIYOU,YREKA,4,0,8,0,1,F,1,0
100136,PLACER,AUBURN,4,0,8,1,1,F,0,1
100137,KERN,UNINCORPORATED,3,0,8,1,1,F,1,1
100138,SAN JOAQUIN,UNINCORPORATED,5,0,8,1,1,F,1,0
100139,LASSEN,UNINCORPORATED,5,0,3,0,1,F,1,0
100140,LASSEN,UNINCORPORATED,4,0,3,0,1,F,0,0
100141,YOLO,WOODLAND,3,0,3,0,1,F,0,1
100142,MENDOCINO,UNINCORPORATED,2,0,1,0,1,F,1,0
100143,CONTRA COSTA,CONCORD,6,0,8,0,1,F,0,0
100144,KERN,UNINCORPORATED,2,0,8,1,1,F,1,1
100145,SAN BERNARDINO,HIGHLAND,6,0,3,1,1,F,0,1
100146,FRESNO,UNINCORPORATED,2,0,8,1,1,F,0,1
100147,IMPERIAL,UNINCORPORATED,5,0,1,1,1,F,0,0
100148,FRESNO,FRESNO,1,0,8,1,1,F,0,0
100149,KERN,UNINCORPORATED,5,0,3,1,1,F,1,1
100150,SAN LUIS OBISPO,UNINCORPORATED,4,0,8,0,1,F,1,0
100151,MERCED,UNINCORPORATED,3,0,1,1,1,F,0,0
100152,CONTRA COSTA,ANTIOCH,2,0,7,1,1,F,1,0
100153,SISKIYOU,UNINCORPORATED,4,0,3,0,1,F,1,0
100154,MODOC,UNINCORPORATED,6,0,1,1,1,F,0,0
100155,IMPERIAL,UNINCORPORATED,5,0,8,1,1,F,1,0
100156,FRESNO,UNINCORPORATED,2,0,8,1,1,F,0,0
100157,NEVADA,TRUCKEE,3,0,3,1,1,F,0,1
100158,KERN,BAKERSFIELD,3,0,8,0,1,F,0,0
100159,HUMBOLDT,UNINCORPORATED,6,0,8,0,1,F,0,0
100160,RIVERSIDE,CATHEDRAL CITY,7,0,8,1,1,F,1,1
100161,KERN,BAKERSFIELD,4,0,1,1,1,F,1,1
100162,MADERA,UNINCORPORATED,5,0,8,1,1,F,1,1
100163,KERN,UNINCORPORATED,7,0,8,1,1,F,1,1
100164,MONTEREY,MONTEREY,4,0,9,1,1,F,0,1
100165,INYO,UNINCORPORATED,5,1,8,1,1,F,0,1
100166,SONOMA,PETALUMA,3,0,3,0,1,F,0,1
100167,SAN JOAQUIN,UNINCORPORATED,6,0,8,1,1,F,1,0
100168,KERN,UNINCORPORATED,7,0,8,1,1,F,1,1
100169,IMPERIAL,UNINCORPORATED,6,0,8,1,1,F,1,0
100170,SAN DIEGO,VISTA,7,0,8,0,1,F,1,0
